"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1,1,1,0.021816759922348,0.372015932154553,0.00811618227910481
"Spawners",2,1,1,0.0410090662646847,0.320084237996433,0.0131263557262756
"Spawners",3,1,1,0.0845954131246996,0.291933703685581,0.024696252268309
"Spawners",4,1,1,0.075222138010105,0.320780299606387,0.024129779967917
"Spawners",5,1,1,0.14380640289512,0.307681732543783,0.0442466031936582
"Spawners",6,1,1,0.197857391797629,0.265588185173562,0.0525485856106944
"Spawners",7,1,1,0.135846691880682,0.265451821314892,0.0360607517793523
"Spawners",8,1,1,0.192949844248607,0.419571479584013,0.0809562516369081
"Spawners",9,1,1,0.0927055246068538,0.249587010333445,0.0231380947280297
"Spawners",10,1,1,0.0645400655052152,0.273701860969094,0.0176647360358436
"Spawners",11,1,1,0.184215863075493,0.286544177073611,0.0527859828888751
"Spawners",12,1,1,0.354670356253313,0.234545231838412,0.0831862409336835
"Spawners",13,1,1,0.137077510661867,0.228564190441981,0.0313310102522321
"Spawners",14,1,1,0.478764191420178,0.243016725368832,0.11634770602278
"Spawners",15,1,1,0.0882657036662816,0.245940905698785,0.0217081471018343
"Spawners",16,1,1,0.10626216909874,0.228816013434599,0.0243144859120913
"Spawners",17,1,1,0.41760064139502,0.26967351238784,0.112615831740415
"Spawners",18,1,1,0.056682245963242,0.274116323313741,0.0155375288606079
"Spawners",19,1,1,0.090124658429921,0.306700282062698,0.0276412581612651
"Spawners",20,1,1,0.116256323570048,0.239272276967246,0.0278169152524435
"Spawners",21,1,1,0.113964428623923,0.834125906704925,0.0950606823580369
"Juveniles",1,1,1,0.618322086903571,0.854601893367821,0.528419226178494
"Juveniles",2,1,1,0.247899269503701,0.653992405335769,0.16212423954465
"Juveniles",3,1,1,0.198833485515842,0.810914578836897,0.161236972165697
"Juveniles",4,1,1,3.32347607616107,0.944138796114938,3.13782270143575
"Juveniles",5,1,1,1.47092984004405,0.768430956311384,1.13030802364317
"Juveniles",6,1,1,1.56289748510991,0.708581117070334,1.10743964586305
"Juveniles",7,1,1,2.2449265285178,0.706082519859602,1.58510338013187
"Juveniles",8,1,1,4.07600084922751,0.581434256687194,2.36992652400195
"Juveniles",9,1,1,0.539071016168847,0.504751795872959,0.272097063512545
"Juveniles",10,1,1,2.58856981079052,0.549849355367046,1.42332344179503
"Juveniles",11,1,1,1.69549529375319,0.562750263596778,0.95414042349294
"Juveniles",12,1,1,1.40718592559839,1.11680967641357,1.57155885821861
"Juveniles",13,1,1,3.66342983023838,0.667769204747466,2.44632562438531
"Juveniles",14,1,1,1.26529528635587,0.858976555638489,1.08685898693627
"Juveniles",15,1,1,1.40718592559839,1.11680967641357,1.57155885821861
"Juveniles",16,1,1,1.38869742890584,0.756158641582929,1.05007556141347
"Juveniles",17,1,1,2.46097485465305,0.80369751285166,1.97787936972638
"Juveniles",18,1,1,1.25062075228036,0.887542564846263,1.10997915012787
"Juveniles",19,1,1,1.69620842091932,0.731875496945018,1.24141338097623
"Juveniles",20,1,1,1.40718592559839,1.11680967641357,1.57155885821861
"Juveniles",21,1,1,2.60980577234906,0.93212855776341,2.43267449060034
