"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1,1,1,0.0212031063943286,0.369371100329656,0.00783181473927914
"Spawners",2,1,1,0.0388003838374423,0.313825705809927,0.0121765578434851
"Spawners",3,1,1,0.101088265146268,0.323925348313494,0.0327450514979009
"Spawners",4,1,1,0.0737233249607069,0.314173110077328,0.023161886288141
"Spawners",5,1,1,0.134628125198306,0.323432398579632,0.0435430974491657
"Spawners",6,1,1,0.227408762034418,0.278795206415458,0.0634004727520774
"Spawners",7,1,1,0.156486276716965,0.280363232418003,0.0438729983694092
"Spawners",8,1,1,0.198275471334577,0.427978244266246,0.0848575881028095
"Spawners",9,1,1,0.0951396945958396,0.264896810112704,0.0252022016135311
"Spawners",10,1,1,0.0654194703620238,0.289412304274455,0.0189331996618798
"Spawners",11,1,1,0.194103212356723,0.285360200531515,0.0553893316019265
"Spawners",12,1,1,0.342426925353966,0.242526002340842,0.0830474332999101
"Spawners",13,1,1,0.137561113528643,0.238669005439194,0.0328315741529877
"Spawners",14,1,1,0.49940455635445,0.250041627754278,0.124871928178793
"Spawners",15,1,1,0.0785354060418248,0.240995440597611,0.0189266747815666
"Spawners",16,1,1,0.102455874882135,0.235363305590627,0.0241143533894481
"Spawners",17,1,1,0.443949014104493,0.288570591975909,0.12811062980725
"Spawners",18,1,1,0.0625293865331404,0.277302429918017,0.0173395508269237
"Spawners",19,1,1,0.101817991167987,0.273122228086215,0.0278087566070648
"Spawners",20,1,1,0.120546903612798,0.246996686634646,0.0297746857764254
"Spawners",21,1,1,0.117092272132154,0.852804723087096,0.099856842711302
"Juveniles",1,1,1,0.846543691763639,0.708570811154691,0.599836150352218
"Juveniles",2,1,1,0.2859237634194,0.685340915707899,0.195955253844596
"Juveniles",3,1,1,0.273852268359325,0.812174479900011,0.222415823623603
"Juveniles",4,1,1,2.76330096721015,0.873743272652359,2.41441563041516
"Juveniles",5,1,1,1.15129537930303,0.670709037490818,0.772184215712001
"Juveniles",6,1,1,1.11645628680621,0.69490374709519,0.77582965716754
"Juveniles",7,1,1,1.88730195135339,0.695197939308219,1.31204842742857
"Juveniles",8,1,1,2.58078199739612,0.538825027911043,1.39058993178887
"Juveniles",9,1,1,0.61950230045015,0.533567277694528,0.330546155981237
"Juveniles",10,1,1,2.61861901082007,0.555844332300489,1.45554453560778
"Juveniles",11,1,1,2.73890899906859,0.620736833361545,1.7001416989189
"Juveniles",12,1,1,1.77376418349201,0.838198398028327,1.48676629707787
"Juveniles",13,1,1,3.0827192865878,0.696815470143812,2.14808648900291
"Juveniles",14,1,1,2.01167818579189,0.745641162977169,1.4999900619971
"Juveniles",15,1,1,1.44477121923808,1.00747465668906,1.45557038809631
"Juveniles",16,1,1,1.50296251465848,0.735405920987033,1.10528753230271
"Juveniles",17,1,1,2.72396281980121,0.795976235633122,2.16820967124192
"Juveniles",18,1,1,1.29447278322403,0.871180355577451,1.1277192595746
"Juveniles",19,1,1,1.70593846943349,0.722585413074488,1.2326862536091
"Juveniles",20,1,1,1.44477121923808,1.00747465668906,1.45557038809631
"Juveniles",21,1,1,2.05708468786713,0.832822367499833,1.71318613989606
