"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1,1,1,79.8095483690555,0.647978198543091,51.7148473790117
2,1,1,24.5555975731963,0.714386990903228,17.542199460161
3,1,1,17.6566208790061,0.827715453151768,14.6146579519235
4,1,1,241.573902012192,0.947955587160413,229.001330127842
5,1,1,89.5476187168681,0.67475441310589,60.4226509122896
6,1,1,59.3270920069259,0.729877539411553,43.3015119344366
7,1,1,178.262969075262,0.677291407854887,120.735977294048
8,1,1,154.583015030619,0.549609235341409,84.9602526877102
9,1,1,45.9415602195086,0.493135749715573,22.6554257420136
10,1,1,186.057955929377,0.543343290278669,101.093341957607
11,1,1,137.137154816966,0.557524963103106,76.4573871792276
12,1,1,179.589877970166,0.906959438241975,162.880734838515
13,1,1,283.500945482809,0.754782974177907,213.981686813278
14,1,1,181.797913468211,0.770926555516189,140.152839230092
15,1,1,116.122629340923,1.06365630783829,123.514567181131
16,1,1,155.496846269553,0.7785253126095,121.058230851723
17,1,1,325.841998002115,0.849035120756009,276.651300120817
18,1,1,149.005101868759,0.729279467652047,108.66636136828
19,1,1,129.862771720909,0.773423407812297,100.438907452259
20,1,1,91.7082585313586,0.900332369149763,82.567913673997
21,1,1,166.52532265476,0.89923325922936,149.745108634678
