"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1,1,1,48.7143887521912,0.678986485600239,33.0764116169577
2,1,1,23.5819448939997,0.669785950917149,15.7948553853554
3,1,1,15.4364611955228,0.771610313511433,11.9109326625837
4,1,1,273.858025231838,0.940356012330764,257.524040549941
5,1,1,102.02119690455,0.655405359578294,66.8652392415589
6,1,1,84.2683021606322,0.69137574987728,58.2610605971415
7,1,1,165.247808459503,0.654989362080684,108.235556647883
8,1,1,188.985088411083,0.534476559400173,101.008099832098
9,1,1,40.9742468713309,0.464957406230079,19.0512795474714
10,1,1,231.245623066189,0.52748487822144,121.978569322393
11,1,1,133.993650078893,0.539988096752305,72.35497608264
12,1,1,144.808258270911,0.877898849130109,127.127003278385
13,1,1,315.752437468419,0.702107426019025,221.69213113067
14,1,1,156.7700150157,0.763380374643156,119.675152796631
15,1,1,109.80538040311,1.07742887466009,118.307487439389
16,1,1,127.563881348921,0.762661172967526,97.2880193779777
17,1,1,283.102584939988,0.857772759424422,242.837685469333
18,1,1,86.7528302424261,0.819344283686101,71.0804355524208
19,1,1,121.369374769246,0.737628143253701,89.5254665587935
20,1,1,72.8241670523521,0.885178488623987,64.4623861267788
21,1,1,197.672960072079,0.925892339439715,183.02387944503
