"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1,1,1,0.996370906520942,0.340549025639822,0.339313141391566
"Spawners",2,1,1,3.24603832164667,0.311444197505969,1.01095980015901
"Spawners",3,1,1,5.99852322093751,0.285601396163234,1.71318660681744
"Spawners",4,1,1,5.40456424652809,0.304135309876544,1.64371882186546
"Spawners",5,1,1,14.586329408465,0.308941952658909,4.50632908957731
"Spawners",6,1,1,19.6147280748918,0.260647078553757,5.11252156934695
"Spawners",7,1,1,10.7517762864444,0.258606967172117,2.78048425715082
"Spawners",8,1,1,11.5888024146881,0.400045784023631,4.63605154787833
"Spawners",9,1,1,6.87119688847044,0.242083009667929,1.6634000227816
"Spawners",10,1,1,3.86640633508422,0.249126181500295,0.963223046388223
"Spawners",11,1,1,15.6573524691269,0.265500960250167,4.15704211552839
"Spawners",12,1,1,34.0938954703529,0.220383143944418,7.51371987307193
"Spawners",13,1,1,11.8732325379274,0.222917352371756,2.6467495614482
"Spawners",14,1,1,40.7681578620692,0.227218774749441,9.26329087821104
"Spawners",15,1,1,7.14823010078263,0.229318479412654,1.63922125720374
"Spawners",16,1,1,8.39199882431023,0.218754353677089,1.8357862788709
"Spawners",17,1,1,43.587790705299,0.256633316190274,11.1860792741093
"Spawners",18,1,1,4.05621004478519,0.257878709927197,1.04601021354275
"Spawners",19,1,1,9.61760706831099,0.262649886298564,2.52606340295622
"Spawners",20,1,1,10.0039505559559,0.222989809107575,2.23077902479478
"Spawners",21,1,1,8.99195805648049,0.97695852539407,8.78477008326432
"Juveniles",1,1,1,80.1238143289207,0.586218262072945,46.9700431864967
"Juveniles",2,1,1,26.7991567135547,0.698233857198175,18.7120785617622
"Juveniles",3,1,1,23.6399929564505,0.808270643845164,19.1075123273864
"Juveniles",4,1,1,166.667393656057,0.802356697795503,133.726699603153
"Juveniles",5,1,1,88.3316381814286,0.622594035297394,54.9947510598398
"Juveniles",6,1,1,64.5759404783802,0.639984024484728,41.3275702722127
"Juveniles",7,1,1,170.028846895792,0.623485657502853,106.010547400446
"Juveniles",8,1,1,158.217340383994,0.503082427303369,79.5963636412737
"Juveniles",9,1,1,56.8399573637366,0.478622504062761,27.2048827239367
"Juveniles",10,1,1,192.221575028275,0.49809315133329,95.7442500598936
"Juveniles",11,1,1,139.657714857279,0.507017533361452,70.8089101021391
"Juveniles",12,1,1,147.299366043587,0.800507212819741,117.91420496204
"Juveniles",13,1,1,216.68393792966,0.662368020993096,143.524511148262
"Juveniles",14,1,1,157.945988146346,0.680881058423905,107.542431583077
"Juveniles",15,1,1,109.921351276393,0.90679803086987,99.676464888049
"Juveniles",16,1,1,106.688837224235,0.697320214592285,74.3962828677686
"Juveniles",17,1,1,215.671317647618,0.730847827749922,157.622914010221
"Juveniles",18,1,1,127.766849099473,0.643938795905028,82.2740309656204
"Juveniles",19,1,1,133.035160123303,0.679831361867324,90.4414740826902
"Juveniles",20,1,1,98.8737048498045,0.784163720564901,77.5331722611317
"Juveniles",21,1,1,161.193856438698,0.792884018786799,127.808032696609
