"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1998,1,1,1.00166903665946,0.358906030347149,0.359505057669122
"Spawners",1999,1,1,3.18990799686979,0.335805654484202,1.0711891426332
"Spawners",2000,1,1,5.9481915187632,0.298339594048498,1.77458104302973
"Spawners",2001,1,1,5.01486014921858,0.320125883665708,1.60538653672852
"Spawners",2002,1,1,13.4346945152592,0.332040941175729,4.4608686112546
"Spawners",2003,1,1,19.0522160504084,0.283810520652511,5.40721935685025
"Spawners",2004,1,1,10.7027210022735,0.275358353964173,2.94708363812376
"Spawners",2005,1,1,11.6016723112639,0.426575034137093,4.94898376222282
"Spawners",2006,1,1,6.90487907798876,0.26308714562102,1.81658492748668
"Spawners",2007,1,1,3.63452002655236,0.27647304321989,1.00484681238439
"Spawners",2008,1,1,14.6552867174983,0.295973652570757,4.3375787392497
"Spawners",2009,1,1,33.315393497538,0.244169297329654,8.13459622055386
"Spawners",2010,1,1,12.0334311813643,0.243444832827595,2.92947664228867
"Spawners",2011,1,1,39.3214035447035,0.253205243296311,9.9563855512885
"Spawners",2012,1,1,7.51898816900661,0.251219163313274,1.88891391677977
"Spawners",2013,1,1,8.63433837447947,0.240349466740714,2.07525862396539
"Spawners",2014,1,1,42.4145851881349,0.280167975140785,11.8832084485983
"Spawners",2015,1,1,3.89934845469415,0.281682105829659,1.09837668408203
"Spawners",2016,1,1,9.35932165635321,0.282266605895805,2.64182395742595
"Spawners",2017,1,1,9.85782779473161,0.240885486818546,2.37460764730764
"Spawners",2018,1,1,8.77809740921653,0.982824738080988,8.62733128706255
"Juveniles",1998,1,1,14696196.0479665,0.715394718379071,10513581.0329838
"Juveniles",1999,1,1,14679883.7429216,0.715269666757467,10500075.5528507
"Juveniles",2000,1,1,14653797.3732217,0.715583417734023,10486014.407116
"Juveniles",2001,1,1,14667360.9016688,0.715324697770229,10491925.5040558
"Juveniles",2002,1,1,14651455.877764,0.715571207223815,10484159.9700338
"Juveniles",2003,1,1,14662733.194866,0.715322277474559,10488579.7029568
"Juveniles",2004,1,1,14652969.7826283,0.715609857543418,10485809.6187364
"Juveniles",2005,1,1,14655649.934915,0.715537508591422,10486667.2412162
"Juveniles",2006,1,1,14668164.9506311,0.71517821183784,10490351.9803393
"Juveniles",2007,1,1,14663261.4240212,0.715417060760789,10490347.3891416
"Juveniles",2008,1,1,14658913.9334778,0.715459339198373,10487856.8762127
"Juveniles",2009,1,1,14632111.355068,0.716386580263058,10482248.2156836
"Juveniles",2010,1,1,14673853.9017278,0.715079351098887,10492969.9261631
"Juveniles",2011,1,1,14655149.9605667,0.715468212407438,10485293.9448441
"Juveniles",2012,1,1,14678789.3860329,0.715274577253579,10499364.872697
"Juveniles",2013,1,1,14637646.699438,0.716101209443971,10482036.504869
"Juveniles",2014,1,1,14659663.2044736,0.715418568126827,10487795.2589653
"Juveniles",2015,1,1,14688520.5378207,0.715230713138784,10505681.0192229
"Juveniles",2016,1,1,14654875.9422115,0.715501055851341,10485579.210016
"Juveniles",2017,1,1,14635392.301683,0.716179876042474,10481573.4444501
"Juveniles",2018,1,1,14661911.0739681,0.71537765768046,10488803.6012121
