"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1,1,1,0.0238700272032586,0.337083198211125,0.00804618511106099
"Spawners",2,1,1,0.0467559396557995,0.278881107343063,0.0130393482260737
"Spawners",3,1,1,0.103208722093565,0.253891384528848,0.026203805347796
"Spawners",4,1,1,0.0817580776395415,0.275450687930041,0.0225203187296488
"Spawners",5,1,1,0.164255212062537,0.278014229389594,0.045665286204794
"Spawners",6,1,1,0.262721979500115,0.220176985069332,0.0578453333577909
"Spawners",7,1,1,0.148431554405007,0.22136812459734,0.0328580148296871
"Spawners",8,1,1,0.241514518706871,0.391858441454783,0.0946395028891438
"Spawners",9,1,1,0.10652879634238,0.215526463902995,0.0229597747795134
"Spawners",10,1,1,0.075600127158829,0.234311609487463,0.0177139874720452
"Spawners",11,1,1,0.21754257519739,0.227007500001248,0.0493837961393696
"Spawners",12,1,1,0.440596291085131,0.182259201964344,0.080302728401723
"Spawners",13,1,1,0.165848621853527,0.181577179498067,0.030114324979791
"Spawners",14,1,1,0.554846570787014,0.188780357322689,0.104744133892457
"Spawners",15,1,1,0.0970044260404534,0.192455346817852,0.0186690204564978
"Spawners",16,1,1,0.120629127023567,0.180020910983712,0.0217157653379447
"Spawners",17,1,1,0.53428207590631,0.226876763149231,0.121216187990282
"Spawners",18,1,1,0.0692907854178369,0.231229272430091,0.0160220578982701
"Spawners",19,1,1,0.124705862907394,0.22529980894854,0.0280962070878041
"Spawners",20,1,1,0.138293179094709,0.182817441892235,0.0252824052332379
"Spawners",21,1,1,0.134975040204639,0.848042935143445,0.114464629266249
"Juveniles",1,1,1,1.30490919368696,0.580169487775062,0.757068498496948
"Juveniles",2,1,1,0.443209507327475,0.726030424699883,0.321783586833937
"Juveniles",3,1,1,0.436795415835499,0.826317229275306,0.360931577772617
"Juveniles",4,1,1,2.65676398561476,0.810733332320181,2.15392711922156
"Juveniles",5,1,1,1.38711602312768,0.61653306919599,0.855202899068825
"Juveniles",6,1,1,1.16555452966811,0.613252410270185,0.714779124619211
"Juveniles",7,1,1,2.33760104831627,0.545791310083393,1.27584233861481
"Juveniles",8,1,1,2.09771072937432,0.507818280404581,1.06525585538317
"Juveniles",9,1,1,0.806625445140408,0.44975210250207,0.362781489877493
"Juveniles",10,1,1,2.21251319691916,0.509536896802812,1.12735710849912
"Juveniles",11,1,1,2.42626931658783,0.513325315391878,1.24546546216765
"Juveniles",12,1,1,2.36119572342607,0.794510271166924,1.87599425449123
"Juveniles",13,1,1,3.24663001515727,0.676306763033862,2.19571783633181
"Juveniles",14,1,1,2.48459457334972,0.688523706214022,1.71070226409301
"Juveniles",15,1,1,1.70695314090815,0.87428105737246,1.4923567969206
"Juveniles",16,1,1,1.89629737126072,0.690829708549242,1.31001856030998
"Juveniles",17,1,1,3.2854364714361,0.764350337587086,2.51122447614929
"Juveniles",18,1,1,2.32663301699413,0.663409215528261,1.54350978462907
"Juveniles",19,1,1,2.08293603595498,0.68588192412574,1.4286481761693
"Juveniles",20,1,1,1.62442483615442,0.767037424475147,1.2459946425774
"Juveniles",21,1,1,1.96294354887313,0.774470689567951,1.52024224387716
