"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1998,1,1,0.980126179600543,0.361429694217858,0.354246705387787
"Spawners",1999,1,1,3.23959864059608,0.333484291906965,1.08035525872171
"Spawners",2000,1,1,5.7324038169216,0.303051198073555,1.7372118445597
"Spawners",2001,1,1,5.07811124138573,0.317725916136498,1.61344754641278
"Spawners",2002,1,1,13.6388974447528,0.335620015414426,4.57748697064312
"Spawners",2003,1,1,18.3093098059682,0.285831287574469,5.23337359644386
"Spawners",2004,1,1,10.3002285577253,0.281331731308762,2.89778113301774
"Spawners",2005,1,1,10.637565362874,0.419175508199089,4.45900686698317
"Spawners",2006,1,1,6.74221588807004,0.261106289494713,1.7604349735081
"Spawners",2007,1,1,3.59734184153699,0.277529578606423,0.998368765384678
"Spawners",2008,1,1,15.2091792236502,0.294536786432748,4.47966277281275
"Spawners",2009,1,1,31.3199279526542,0.245638507774971,7.69338036590928
"Spawners",2010,1,1,11.2917509580362,0.24827827364606,2.80349643430213
"Spawners",2011,1,1,41.2089761603894,0.259280417359447,10.6846805378222
"Spawners",2012,1,1,7.11881739695897,0.255331045002545,1.81765508514803
"Spawners",2013,1,1,8.22935608345165,0.239507533540222,1.97099277817658
"Spawners",2014,1,1,41.3123595569174,0.28143596322833,11.6267837051372
"Spawners",2015,1,1,3.7303250400388,0.283545235308025,1.05771589125316
"Spawners",2016,1,1,9.37024568657604,0.283241005662122,2.65403781156709
"Spawners",2017,1,1,9.99373780618219,0.247911369207895,2.47756122303628
"Spawners",2018,1,1,8.54715744777307,0.9799450876045,8.37574495392631
"Juveniles",1998,1,1,58.7760712504818,0.647471148742762,38.0558103710995
"Juveniles",1999,1,1,24.4848342709122,0.66771359118525,16.3488566206871
"Juveniles",2000,1,1,23.4235941290694,0.76350544700778,17.8840417061089
"Juveniles",2001,1,1,170.047227802862,0.787296069570098,133.877514091282
"Juveniles",2002,1,1,92.3795128573968,0.607441573143337,56.1151566162881
"Juveniles",2003,1,1,91.859393973279,0.640991424982022,58.8810838406847
"Juveniles",2004,1,1,154.553142755959,0.577629807550919,89.2745021054947
"Juveniles",2005,1,1,211.483170323952,0.534383306425015,113.013075809095
"Juveniles",2006,1,1,59.6711163301531,0.453019366973336,27.0321713464856
"Juveniles",2007,1,1,231.898272739234,0.517474152256609,120.001362095431
"Juveniles",2008,1,1,160.462595768387,0.529476032752861,84.9610986112458
"Juveniles",2009,1,1,130.298631222751,0.791381955767677,103.115985611572
"Juveniles",2010,1,1,220.56485803854,0.660282730967065,145.63516682153
"Juveniles",2011,1,1,155.373512487186,0.68800444142493,106.897666670847
"Juveniles",2012,1,1,109.859649063056,0.92311866050886,101.413492086953
"Juveniles",2013,1,1,116.701268956056,0.69715350295684,81.3586984517186
"Juveniles",2014,1,1,198.380836465789,0.739564140356975,146.715352779368
"Juveniles",2015,1,1,94.7477904315943,0.746020038085355,70.6837502260562
"Juveniles",2016,1,1,130.729912548235,0.675238051220303,88.2738113853034
"Juveniles",2017,1,1,77.8911163281665,0.80736593615583,62.8866340525325
"Juveniles",2018,1,1,160.408750248699,0.808326140068214,129.662585921706
