"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1,1,1,1.31903019045265,0.350365737263967,0.462142985151373
2,1,1,4.16761706579786,0.325067222747228,1.35475570505287
3,1,1,6.79341411630544,0.283733282264528,1.92751768500152
4,1,1,6.73775177690388,0.314915444523638,2.12182209591363
5,1,1,17.9070767307973,0.334255945804289,5.98554686924262
6,1,1,24.858991098897,0.276174117835239,6.86540993701193
7,1,1,14.5269958872624,0.262279830136757,3.81013801370855
8,1,1,14.7055399583613,0.421075853062018,6.19214778270458
9,1,1,7.98961988058654,0.24830770088312,1.98388414347851
10,1,1,4.58285379833113,0.268920297993749,1.232422409109
11,1,1,18.8576187906867,0.289630928072981,5.46174963159311
12,1,1,44.7324037411748,0.233435850847236,10.4421467277632
13,1,1,16.0816813261423,0.227131355746086,3.6526540822832
14,1,1,47.3327420946639,0.237944099811443,11.2625467093221
15,1,1,9.54043178936084,0.24107067607174,2.29991834147754
16,1,1,11.2244927040995,0.225082519097102,2.52643709342576
17,1,1,52.5751119230358,0.280965729961919,14.7718046992854
18,1,1,4.98371847582241,0.272832942786352,1.35972257777734
19,1,1,10.9979909624349,0.268385060660943,2.95169647160159
20,1,1,12.7439918798322,0.226770343663488,2.88995941823426
