"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1,1,1,1.13867410413646,0.395572003411907,0.45042759660652
2,1,1,3.66557615958855,0.376929946955765,1.38166542739603
3,1,1,5.57954368555818,0.343114678176648,1.91442333604285
4,1,1,5.84353528068042,0.362757381693215,2.11978555825156
5,1,1,16.6528147234259,0.381388093699986,6.35118526210647
6,1,1,21.2173575887541,0.336452133047164,7.13862521836074
7,1,1,12.9857947401678,0.335081610209102,4.35130101138031
8,1,1,12.050170531969,0.464533240717868,5.59770476841849
9,1,1,6.90512983690646,0.30995792077657,2.14029968693979
10,1,1,4.13971179156841,0.324803592498758,1.34459326181089
11,1,1,16.9220015433639,0.345711616293378,5.85013250447538
12,1,1,35.7394637828504,0.289619146455416,10.3508329955634
13,1,1,13.7681257557718,0.30037147889909,4.1355522949298
14,1,1,43.6188965511418,0.303565297314265,13.2411833000676
15,1,1,8.40782859871156,0.30362801056432,2.55285227059259
16,1,1,9.79450579469344,0.291648382882073,2.85655177615144
17,1,1,46.5310532191942,0.33255289753983,15.4740365736231
18,1,1,4.19890537592887,0.330305311895347,1.38692074981524
19,1,1,9.52310967115275,0.324418116091948,3.0894692988524
20,1,1,11.4076851223797,0.295939548583256,3.37598518549698
