"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1,1,1,0.0205997513679491,0.359088516720126,0.00739713416351987
"Spawners",2,1,1,0.0413265526857138,0.311935908505566,0.012891235757422
"Spawners",3,1,1,0.0792851746493483,0.292448864991059,0.0231868593368318
"Spawners",4,1,1,0.0818912977667901,0.315234563192491,0.0258149674807791
"Spawners",5,1,1,0.0995081131110591,0.335046286904011,0.0333398238146772
"Spawners",6,1,1,0.22254053698829,0.26014800806293,0.0578934774107225
"Spawners",7,1,1,0.130984126875848,0.25780855792786,0.0337688288613294
"Spawners",8,1,1,0.23499549181187,0.491256386104586,0.115443036058429
"Spawners",9,1,1,0.079277927960823,0.247996263850634,0.0196606299400966
"Spawners",10,1,1,0.0732657102063023,0.276196812526972,0.0202357556265014
"Spawners",11,1,1,0.195022721221112,0.283250505592895,0.0552402843879736
"Spawners",12,1,1,0.366569759438774,0.22726332236672,0.0833078614092417
"Spawners",13,1,1,0.142083037205431,0.228844016960254,0.0325148529760131
"Spawners",14,1,1,0.46897915637275,0.236243903442437,0.110793466534632
"Spawners",15,1,1,0.0835495442543779,0.230749734218855,0.0192790351308059
"Spawners",16,1,1,0.105725638000369,0.221913822600952,0.0234619804755991
"Spawners",17,1,1,0.467297714111118,0.284915085758105,0.133140168290522
"Spawners",18,1,1,0.0616799467173656,0.269760114561812,0.0166387894926425
"Spawners",19,1,1,0.101631558016498,0.267179995631574,0.0271539192268785
"Spawners",20,1,1,0.12744685225405,0.238508347360777,0.0303971381074447
"Spawners",21,1,1,0.11541220191315,0.857339200983557,0.0989474049719677
"Juveniles",1,1,1,0.859477777629113,0.681267711590162,0.585534458727146
"Juveniles",2,1,1,0.582235471257369,0.828312397078167,0.482272858863817
"Juveniles",3,1,1,0.42925165130542,0.950120467242916,0.40784077950221
"Juveniles",4,1,1,1.84054075911054,0.724038350156452,1.33262209462268
"Juveniles",5,1,1,1.21169007422842,0.598710622061237,0.725451718084744
"Juveniles",6,1,1,1.08290433116872,0.633117742498785,0.685605945489915
"Juveniles",7,1,1,1.44617621507181,0.627444594332266,0.90739544859985
"Juveniles",8,1,1,2.18433200435428,0.542240478367246,1.18443323095336
"Juveniles",9,1,1,0.899615651034538,0.584441131294069,0.525772388802848
"Juveniles",10,1,1,2.00856074244846,0.536684021230406,1.07796245614394
"Juveniles",11,1,1,1.74861578687286,0.55277490703112,0.966590929023709
"Juveniles",12,1,1,1.58045388496363,0.696649215259265,1.10102195871062
"Juveniles",13,1,1,1.78773120129603,0.709239674671574,1.26792989560915
"Juveniles",14,1,1,1.86125782982614,0.678545963344354,1.26294898717316
"Juveniles",15,1,1,1.30674031168484,0.762195382948472,0.995991432276146
"Juveniles",16,1,1,1.30096908654237,0.643523605255714,0.837204316895003
"Juveniles",17,1,1,1.94065273520584,0.702045393487813,1.36242631323994
"Juveniles",18,1,1,1.19671683409707,0.68045760973442,0.814315076457354
"Juveniles",19,1,1,1.49808286958995,0.637307436352718,0.95473935306484
"Juveniles",20,1,1,1.02172669043195,0.730298873545791,0.746165851094726
"Juveniles",21,1,1,1.62084894548668,0.6861146446238,1.11208819821838
