"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1,1,1,0.0200285155079767,0.356934627491248,0.00714887072204246
"Spawners",2,1,1,0.0406443856116571,0.302498051407926,0.0122948474481985
"Spawners",3,1,1,0.10039442513828,0.297540461210862,0.0298714035586375
"Spawners",4,1,1,0.0849427787549521,0.314689446330703,0.0267305960161883
"Spawners",5,1,1,0.12583356759012,0.320428148140962,0.0403206170368749
"Spawners",6,1,1,0.230987488959691,0.254032749077549,0.0586783868229546
"Spawners",7,1,1,0.141508307695621,0.267872108557303,0.0379061287608107
"Spawners",8,1,1,0.208588394674823,0.410483978260408,0.0856221940650972
"Spawners",9,1,1,0.0847758568116243,0.25105250590914,0.0212831912931534
"Spawners",10,1,1,0.0682265456268071,0.269920639272662,0.0184157528109526
"Spawners",11,1,1,0.201537910050827,0.261748322606318,0.0527522098973841
"Spawners",12,1,1,0.364300450188614,0.225501961611398,0.0821504661334773
"Spawners",13,1,1,0.142367579631703,0.226446833759205,0.0322386876375629
"Spawners",14,1,1,0.524591487336978,0.230025375586628,0.12066935390423
"Spawners",15,1,1,0.0897164681521826,0.230590884526413,0.0206877997477987
"Spawners",16,1,1,0.104090594392298,0.221384671899949,0.0230440620874101
"Spawners",17,1,1,0.510050565145353,0.255412515447751,0.130273297849315
"Spawners",18,1,1,0.0566272392228349,0.288480637286279,0.0163358620587712
"Spawners",19,1,1,0.112881983554567,0.267102457968004,0.0301510552677279
"Spawners",20,1,1,0.115655962252141,0.228101480162731,0.0263812961793592
"Spawners",21,1,1,0.119403741270154,0.87057700980352,0.103950152034324
"Juveniles",1,1,1,0.774457791202886,0.659922638456849,0.511082228941009
"Juveniles",2,1,1,0.754569588029317,0.687485700534234,0.51875580182811
"Juveniles",3,1,1,0.353099687910829,0.884286529924486,0.312241297740979
"Juveniles",4,1,1,1.95924298543679,0.727836895567455,1.42600933217805
"Juveniles",5,1,1,0.940915400450002,0.561359677588524,0.528191965834259
"Juveniles",6,1,1,1.15535805113321,0.629697955837894,0.72752660306006
"Juveniles",7,1,1,1.59506906033383,0.618244036212662,0.986141933897775
"Juveniles",8,1,1,2.09126048689738,0.541762468869268,1.1329664444231
"Juveniles",9,1,1,0.869571857429332,0.583116270264608,0.507061498228688
"Juveniles",10,1,1,2.02706881953269,0.525182281360446,1.06458062711775
"Juveniles",11,1,1,1.43849779981577,0.544007263411731,0.782553251499836
"Juveniles",12,1,1,1.33712591216893,0.672196379229682,0.898811196733225
"Juveniles",13,1,1,2.25919498692345,0.621157597896746,1.40331613126841
"Juveniles",14,1,1,1.77841502530196,0.656493929279287,1.16751866784225
"Juveniles",15,1,1,1.26525919111125,0.760501160297408,0.962231082916655
"Juveniles",16,1,1,1.36350764700962,0.642488457164608,0.876037924457246
"Juveniles",17,1,1,1.38531538987716,0.680588796598265,0.942830134105298
"Juveniles",18,1,1,1.09779476303921,0.674016060311247,0.739931301214659
"Juveniles",19,1,1,1.40927268072568,0.637642304688923,0.898611880073531
"Juveniles",20,1,1,1.21910317282634,0.699310802774488,0.852532018452323
"Juveniles",21,1,1,1.50998253877604,0.646056102041119,0.975533433149518
