"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1,1,1,131.486464540776,0.613349029495899,80.6470954176838
2,1,1,44.6385313493035,0.719590802882878,32.1214766131592
3,1,1,33.8187239209621,0.84849315196465,28.6949556552789
4,1,1,327.876580384631,0.899072433419014,294.784794979811
5,1,1,137.207110119103,0.646749156977443,88.7385828009481
6,1,1,109.984972221873,0.675849688535813,74.3333092197009
7,1,1,227.897719995037,0.564102813720056,128.55774509013
8,1,1,206.8560038243,0.533110477123285,110.27710289495
9,1,1,73.4762550233658,0.458956602020674,33.722412334844
10,1,1,221.340582837899,0.541539899531084,119.864756991812
11,1,1,236.835948753095,0.534367134124908,126.557347194097
12,1,1,257.794046984973,0.857856322359401,221.150253070703
13,1,1,402.662979648942,0.744262967766872,299.687144241623
14,1,1,265.552025577351,0.735644753535854,195.351954408085
15,1,1,175.436373977637,0.973752809617788,170.831662069548
16,1,1,241.99391754053,0.747405068126498,180.867480424624
17,1,1,437.672815036277,0.839442310987529,367.401079316785
18,1,1,254.783556699967,0.722877131571654,184.177206639327
19,1,1,203.643145647578,0.739786349724874,150.652419365267
20,1,1,150.147210611168,0.840927443062408,126.262909902238
21,1,1,188.090008505203,0.850663731029363,160.001348403937
