"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1,1,1,43.6368271248298,0.656220040151979,28.6353604479219
2,1,1,21.1239682842676,0.645614413975817,13.6379384047703
3,1,1,13.8274987362622,0.75099816705796,10.3844262059099
4,1,1,245.313486907656,0.928684622779041,227.818863048387
5,1,1,91.3874016813523,0.642020051431389,58.6725443276466
6,1,1,75.4849144308489,0.666790870074861,50.3326517708932
7,1,1,148.023834748465,0.628928949489857,93.0964748878524
8,1,1,169.286943139487,0.523430107563316,88.6098828571918
9,1,1,36.7034488479054,0.452904291801921,16.6231495072584
10,1,1,207.142617501761,0.529792232389335,109.742549749469
11,1,1,120.027328056845,0.512270081713393,61.4864091516117
12,1,1,129.714719476602,0.863851110360156,112.054204449307
13,1,1,282.841187944496,0.687129954325162,194.348652554469
14,1,1,140.429687086451,0.74487004086929,104.601866759288
15,1,1,98.3602341077682,1.06765050896237,105.014354006696
16,1,1,114.267742494926,0.744377194402179,85.0583015691785
17,1,1,253.594470036737,0.854073355627003,216.588279982621
18,1,1,77.710475440419,0.795692481248035,61.8336410216809
19,1,1,108.718896176025,0.718520885335495,78.1167975331652
20,1,1,65.2336137510118,0.873751897510161,56.9979937962498
21,1,1,177.069275261939,0.938112175269661,166.110842989974
