"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1,1,1,47.4995639580134,0.624653390458339,29.670763671683
2,1,1,29.2078369308609,0.64990335335814,18.9822711658575
3,1,1,980.880868847661,4.29834328352705,4216.16269457638
4,1,1,527799.438078437,6.34635108794758,3349600.53805468
5,1,1,904900.750514182,7.16866172624073,6486927.37625241
6,1,1,9544676582697068544,22.6031320829606,2.15739585487757e+20
7,1,1,7.05056199940415e+22,26.7644813756471,1.8870463532095e+24
8,1,1,38990275956389.6,15.8532867840126,618124026523528
9,1,1,2921421097779002,18.855542550189,55084979816202184
10,1,1,47332026.5830901,8.79268014481989,416175370.351052
11,1,1,5713.08750875047,3.69977089492405,21137.1148852163
12,1,1,8.17456479725414e+23,28.0867380974533,2.29596860520955e+25
13,1,1,1.99502113721446e+46,53.9057703461262,1.07543151258304e+48
14,1,1,5907811663658.93,15.8701277941512,93757726086087.3
15,1,1,1.75107668138416e+54,63.7328619360202,1.11601128374065e+56
16,1,1,754017782.408377,10.5586118434526,7961381087.53336
17,1,1,17359030631060.9,15.2625385319865,264942873884318
18,1,1,2.82394871896644e+53,62.9024463180855,1.77633282699861e+55
19,1,1,9394.94171994965,4.26983833839956,40114.8823427543
20,1,1,4407484908.03279,11.7566264175285,51817153504.6521
21,1,1,1498633276443.78,14.2130403760977,21300135267038.9
