"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1,1,1,0.769707034451358,0.287215344688817,0.221071671209336
"Spawners",2,1,1,3.23663790866586,0.204974314491971,0.663427636588186
"Spawners",3,1,1,5.62789998112961,0.188781374254946,1.06244269260743
"Spawners",4,1,1,2.53730501494782,0.19582052882369,0.496856409814008
"Spawners",5,1,1,16.8332874550211,0.190667182173657,3.20955548577163
"Spawners",6,1,1,13.4620210704564,0.176512981671933,2.37622147847897
"Spawners",7,1,1,6.98354786582171,0.180778315982276,1.2624740227636
"Spawners",8,1,1,20.1339934351043,0.181761519031225,3.65958523093962
"Spawners",9,1,1,6.58519062611967,0.177683926603955,1.17008252788498
"Spawners",10,1,1,2.85088579583573,0.19047743639678,0.543029417850707
"Spawners",11,1,1,17.7113926504318,0.17246581405142,3.0546097514408
"Spawners",12,1,1,27.8630384263488,0.169123221629122,4.71228682305327
"Spawners",13,1,1,7.22558464512534,0.17456285908463,1.26131871420886
"Spawners",14,1,1,36.3073844195569,0.169131038669934,6.14070563827004
"Spawners",15,1,1,6.98961740865581,0.180974699901531,1.26494391295763
"Spawners",16,1,1,9.86897969459765,0.171777158165312,1.69526528593239
"Spawners",17,1,1,43.0354513265328,0.172699949760335,7.43222028202513
"Spawners",18,1,1,3.62792741832182,0.192015901349005,0.69661975325773
"Spawners",19,1,1,8.85838358655792,0.190733955991122,1.6895945451501
"Spawners",20,1,1,11.5034421369998,0.173269831366109,1.9931994792065
"Spawners",21,1,1,8.08821916361705,1.02149250235738,8.26205523305731
"Juveniles",1,1,1,63.1183613555979,0.618572458523715,39.0432799615898
"Juveniles",2,1,1,29.4486379416567,0.702480125350879,20.6870828726707
"Juveniles",3,1,1,32.6808992678374,0.788675209311636,25.7746150705555
"Juveniles",4,1,1,151.762217647163,0.716557021177585,108.746282603811
"Juveniles",5,1,1,88.496020688074,0.591238713798651,52.3222734480326
"Juveniles",6,1,1,83.4126808893663,0.617819766461239,51.5340030268819
"Juveniles",7,1,1,153.753524625556,0.626690331547675,96.3558473241839
"Juveniles",8,1,1,184.511768513702,0.520760859413904,96.0865071433473
"Juveniles",9,1,1,58.1917231350509,0.504636537729675,29.3656696874773
"Juveniles",10,1,1,177.991650026325,0.520191416335927,92.589728523386
"Juveniles",11,1,1,141.522149341842,0.514984225957727,72.8816745341984
"Juveniles",12,1,1,132.882626026154,0.722604111040679,96.0215318523522
"Juveniles",13,1,1,146.529291549562,0.58648249324025,85.9368642404811
"Juveniles",14,1,1,145.529697339687,0.662119722179942,96.3580827713348
"Juveniles",15,1,1,104.921775544174,0.803739867931018,84.3298140187393
"Juveniles",16,1,1,108.756948745123,0.631612875645853,68.6922891435335
"Juveniles",17,1,1,172.505218366816,0.689777534660354,118.990224253191
"Juveniles",18,1,1,99.8819518578453,0.672306673054435,67.1513027515793
"Juveniles",19,1,1,139.6096495143,0.634872942568917,88.6343889982947
"Juveniles",20,1,1,85.4268557239966,0.708549439885187,60.5291507743599
"Juveniles",21,1,1,142.96192186595,0.70919536764039,101.387932736041
