"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1,1,1,1.00803632088768,0.36712856722655,0.370078930199817
2,1,1,3.13494037552734,0.344407231766896,1.07969613648965
3,1,1,5.05832745178801,0.306314669813177,1.54943990320137
4,1,1,5.1683219642295,0.335301598633264,1.73294661685757
5,1,1,14.1591869879015,0.346610917111012,4.90772878742283
6,1,1,19.0162946066111,0.298483164050987,5.67604378270697
7,1,1,11.0700301693785,0.284335184925529,3.14759907534142
8,1,1,10.8737750423581,0.437277821618226,4.754860663289
9,1,1,6.20518445612788,0.267293926224532,1.65860811622586
10,1,1,3.60382237609019,0.286939657163946,1.03407955707508
11,1,1,14.2913727222534,0.308439906907723,4.4080296720354
12,1,1,32.8187956851586,0.249190865276686,8.17814409412345
13,1,1,12.2507312477499,0.252475701406615,3.09301196451959
14,1,1,36.2761185985346,0.258586210401688,9.38050403647729
15,1,1,7.73628210549936,0.260641656838817,2.01639738574985
16,1,1,8.67632453759669,0.247852366151187,2.15044756613894
17,1,1,41.9038618069526,0.295323878164365,12.3752109788928
18,1,1,3.7685034012957,0.293857024048626,1.10740119462188
19,1,1,8.36399377842064,0.28898887672803,2.417101166986
20,1,1,9.75874180864131,0.249923316734366,2.43893711996996
