"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1,1,1,0.0206527147980524,0.348383548280842,0.00719506606297593
"Spawners",2,1,1,0.0405244627704285,0.291972631852536,0.0118320340494905
"Spawners",3,1,1,0.0891436949359933,0.263229361468213,0.023465237896922
"Spawners",4,1,1,0.0713736586516794,0.285323168109327,0.0203645584060525
"Spawners",5,1,1,0.143371417757571,0.297380916878691,0.0426359236669443
"Spawners",6,1,1,0.224028668615116,0.235902943374327,0.0528490223265765
"Spawners",7,1,1,0.132824412550507,0.235857129037783,0.0313275846103043
"Spawners",8,1,1,0.197584087411119,0.408476886009036,0.0807085327505695
"Spawners",9,1,1,0.0940149690673668,0.227779294405709,0.0214146633177333
"Spawners",10,1,1,0.0667369931370254,0.257786732773322,0.017203911415908
"Spawners",11,1,1,0.186015860045563,0.250095347057421,0.0465217010762772
"Spawners",12,1,1,0.365560759229074,0.201889928236462,0.0738030354467673
"Spawners",13,1,1,0.147005530523215,0.197887259699346,0.0290905215958947
"Spawners",14,1,1,0.506006635695143,0.210146887202129,0.106335719394982
"Spawners",15,1,1,0.0877571189990304,0.213237054842428,0.0187130695968202
"Spawners",16,1,1,0.106201753407191,0.189620829826146,0.0201380646100624
"Spawners",17,1,1,0.457826194077847,0.245396509623903,0.112348950041006
"Spawners",18,1,1,0.0587579618508386,0.250374829270621,0.0147115146666914
"Spawners",19,1,1,0.108014385553362,0.23802067914944,0.0257096574073177
"Spawners",20,1,1,0.124796803164,0.19737024015245,0.0246311750107357
"Spawners",21,1,1,0.11701610618285,0.849987247441245,0.0994621980006525
"Juveniles",1,1,1,0.797609979266989,0.673192556951004,0.536945101393755
"Juveniles",2,1,1,0.391465438665666,0.693634353657834,0.271533876531243
"Juveniles",3,1,1,0.333238940343748,0.853606437390727,0.284454904668201
"Juveniles",4,1,1,2.29674801980887,0.821088438280332,1.88583324469961
"Juveniles",5,1,1,1.43297674613303,0.604523516278635,0.866268141318877
"Juveniles",6,1,1,1.19778506738765,0.713349867111974,0.854439818655814
"Juveniles",7,1,1,1.70983200685869,0.679285226852608,1.16146362265837
"Juveniles",8,1,1,2.14421413085963,0.562895246653029,1.20696794207397
"Juveniles",9,1,1,0.78832157287848,0.520811574368253,0.410566999472054
"Juveniles",10,1,1,2.4126133699606,0.60697114823678,1.46438670741366
"Juveniles",11,1,1,1.97547907743157,0.586474831334035,1.15856875874068
"Juveniles",12,1,1,1.73922847578182,0.783525850828188,1.36273047126832
"Juveniles",13,1,1,2.7654437550903,0.794958536415988,2.19841312008382
"Juveniles",14,1,1,1.88607328610205,0.724864413230226,1.36714740584005
"Juveniles",15,1,1,1.40196950657098,0.890281150771966,1.24814702565875
"Juveniles",16,1,1,1.46729998559541,0.704185651343522,1.03325159607105
"Juveniles",17,1,1,2.51300828348153,0.787477710121735,1.97893800877647
"Juveniles",18,1,1,1.1480680801077,0.805481071866415,0.924747107738145
"Juveniles",19,1,1,1.62225439756235,0.692049698000359,1.12268066591185
"Juveniles",20,1,1,1.04869152076557,0.809404274238604,0.848815399270361
"Juveniles",21,1,1,1.83192233624977,0.835081392975399,1.52980425637366
