"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1,1,1,0.95645323912336,0.352108660617471,0.336775468970884
"Spawners",2,1,1,3.04110521064534,0.320668965624074,0.975188062251698
"Spawners",3,1,1,5.56592105643403,0.286048740625105,1.59212470861254
"Spawners",4,1,1,4.99617800207684,0.311387235381495,1.55574605554034
"Spawners",5,1,1,13.6919244613883,0.323144934334508,4.42447603098853
"Spawners",6,1,1,17.7314431026531,0.268942480235485,4.76873828618274
"Spawners",7,1,1,10.1820478329126,0.267313374381411,2.7217975643297
"Spawners",8,1,1,10.9839523197922,0.411878965669516,4.52405892043921
"Spawners",9,1,1,6.54688971881275,0.248171050190705,1.6247484970009
"Spawners",10,1,1,3.50930913116432,0.26426784269424,0.92739755343996
"Spawners",11,1,1,14.1708257830404,0.280287724312591,3.97190851035937
"Spawners",12,1,1,30.8563755813216,0.229783987408018,7.09030101803174
"Spawners",13,1,1,11.1317944496393,0.231034632299946,2.57183003750898
"Spawners",14,1,1,37.8193434608743,0.238004326281545,9.00116736081586
"Spawners",15,1,1,7.05889474297228,0.237841579510517,1.67889867526712
"Spawners",16,1,1,7.83488674935956,0.224325191531486,1.75756247067764
"Spawners",17,1,1,39.8383162505299,0.266175747480004,10.603993606327
"Spawners",18,1,1,3.6985134812191,0.268635500357699,0.993552019606896
"Spawners",19,1,1,8.92887073978857,0.268319583152595,2.39579087492345
"Spawners",20,1,1,9.29968841491699,0.227222895380938,2.1131021277773
"Spawners",21,1,1,8.3588053206731,0.968216111146011,8.09312998140864
"Juveniles",1,1,1,70.2555398720014,0.589487757827209,41.4147806740587
"Juveniles",2,1,1,26.1318634434612,0.706597760735889,18.464716193081
"Juveniles",3,1,1,23.6939187589189,0.819951331584028,19.4278602367926
"Juveniles",4,1,1,145.030980409487,0.780456612044801,113.19038761201
"Juveniles",5,1,1,80.3635384844556,0.614215476874201,49.3605291132546
"Juveniles",6,1,1,57.5065706942787,0.637680215029791,36.6708023657735
"Juveniles",7,1,1,147.428404197464,0.667955356356748,98.4755922634669
"Juveniles",8,1,1,137.805671120706,0.521346992201462,71.8445721483439
"Juveniles",9,1,1,58.138109206463,0.496205239702474,28.8484344135947
"Juveniles",10,1,1,167.757804803402,0.558868425387463,93.7545402164288
"Juveniles",11,1,1,120.085034137238,0.521785114979035,62.6585833440608
"Juveniles",12,1,1,126.744983006813,0.783630027147974,99.321174474527
"Juveniles",13,1,1,174.873385521543,0.688394593889451,120.381893208411
"Juveniles",14,1,1,141.373501512974,0.674749583784323,95.3917113052529
"Juveniles",15,1,1,98.872628960919,0.869914478337017,86.0107314442329
"Juveniles",16,1,1,94.2139239033111,0.679880097831133,64.0541718006119
"Juveniles",17,1,1,183.088333681309,0.721767042480067,132.147125115862
"Juveniles",18,1,1,113.770892295085,0.650262321485665,73.9809245407198
"Juveniles",19,1,1,121.065475271068,0.664639059724741,80.4648436496429
"Juveniles",20,1,1,85.8989151371833,0.774814482993077,66.555723521628
"Juveniles",21,1,1,139.581451546579,0.808709862229431,112.880896449997
