"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1,1,1,0.0227256551759977,0.345517583258998,0.00785211345438886
"Spawners",2,1,1,0.0441160860246377,0.290948248940539,0.012835497978973
"Spawners",3,1,1,0.0974386384523659,0.257594170444424,0.025099625241385
"Spawners",4,1,1,0.077570505899832,0.282439518654603,0.0219089763481428
"Spawners",5,1,1,0.15194399635515,0.295875174454031,0.0449564564288231
"Spawners",6,1,1,0.238301583458651,0.229479858688832,0.0546854136974363
"Spawners",7,1,1,0.140933713134186,0.228689930316252,0.0322301210358767
"Spawners",8,1,1,0.233376468437685,0.407242685805659,0.0950408598104621
"Spawners",9,1,1,0.101297384245663,0.222663821414228,0.0225552626753994
"Spawners",10,1,1,0.0706995093894492,0.248585218012316,0.017574852954928
"Spawners",11,1,1,0.197874988314571,0.251721837083845,0.0498094555714832
"Spawners",12,1,1,0.397260423583,0.196613366801026,0.0781067093773617
"Spawners",13,1,1,0.158387063276331,0.189040382356572,0.0299415510021059
"Spawners",14,1,1,0.517742489449866,0.204434810808976,0.105844587878446
"Spawners",15,1,1,0.0950633584185453,0.202493354784241,0.0192496983632252
"Spawners",16,1,1,0.112485972605459,0.187828419532423,0.0211280624540263
"Spawners",17,1,1,0.490219715002352,0.240408144422724,0.117852812043133
"Spawners",18,1,1,0.0650309917481984,0.245429154849767,0.0159605013437974
"Spawners",19,1,1,0.116555176006732,0.236179782736453,0.0275279761460762
"Spawners",20,1,1,0.127897390048354,0.190839885186205,0.0244079232324558
"Spawners",21,1,1,0.126200544798062,0.842234734893865,0.106290482391457
"Juveniles",1,1,1,1.21871895615768,0.58598794991551,0.714154622634148
"Juveniles",2,1,1,0.458818902217652,0.739558986395022,0.339323642263439
"Juveniles",3,1,1,0.439020237480845,0.859560813761135,0.377364592587813
"Juveniles",4,1,1,2.44164389459661,0.830455347695246,2.02767622944934
"Juveniles",5,1,1,1.3662035853029,0.61460385423643,0.839673989197158
"Juveniles",6,1,1,1.05002486975601,0.637914630935844,0.669826227265749
"Juveniles",7,1,1,2.26828033978211,0.706088155409579,1.60160588108109
"Juveniles",8,1,1,1.95392995362735,0.532351493900459,1.04017752978646
"Juveniles",9,1,1,0.850870055821604,0.541362639860468,0.460629259611101
"Juveniles",10,1,1,2.13011451885281,0.56072643809698,1.19441152688898
"Juveniles",11,1,1,1.99818430571357,0.547581965245756,1.09416968905051
"Juveniles",12,1,1,2.08536515452403,0.804727267962391,1.678150203486
"Juveniles",13,1,1,2.77629699036359,0.743976790640435,2.06550052476306
"Juveniles",14,1,1,2.3633913038542,0.725305635280831,1.71418103104315
"Juveniles",15,1,1,1.58064478068545,0.85369366114656,1.34938642979509
"Juveniles",16,1,1,1.68584496024969,0.688258828012748,1.16029767655282
"Juveniles",17,1,1,2.99878871658872,0.807803558838554,2.42243219750828
"Juveniles",18,1,1,1.80281371409468,0.719412827323069,1.29696731118859
"Juveniles",19,1,1,1.93103602960652,0.687078136772172,1.32677263725626
"Juveniles",20,1,1,1.41237323561498,0.765432321734169,1.08107612488928
"Juveniles",21,1,1,1.77283752972823,0.772054254826785,1.36872675794189
