"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1,1,1,72.6720600373081,0.624027187297112,45.3493412199788
2,1,1,22.3595538967461,0.692675887215889,15.4879238332058
3,1,1,16.0775630621965,0.811130538034339,13.0410023769671
4,1,1,219.969578254559,0.929492010742948,204.459965594521
5,1,1,81.5392399822326,0.654016084199235,53.3279744416263
6,1,1,54.0213804173849,0.69705262202713,37.6557448655336
7,1,1,162.320640395053,0.650323217801426,105.560881177229
8,1,1,140.758421619376,0.531724605832415,74.8447162520957
9,1,1,41.8329376145234,0.483121551966229,20.2103937433181
10,1,1,169.418509622837,0.536794932508763,90.9429974388033
11,1,1,124.872771683936,0.525967521885359,65.6790222734669
12,1,1,163.528881749372,0.889230510990533,145.41487107898
13,1,1,258.147022374605,0.729814133906782,188.399345554533
14,1,1,165.539449920394,0.749161930589908,124.015853891797
15,1,1,105.737606385108,1.0504463493355,111.071682614706
16,1,1,141.590527615854,0.760130644183072,107.627298966316
17,1,1,296.701449031964,0.827079156614093,245.395584232486
18,1,1,135.679349300939,0.703153120679108,95.4033578718808
19,1,1,118.248947466307,0.752670574711541,89.0025032482249
20,1,1,83.5066505234165,0.885005474078273,73.9038428350822
21,1,1,151.63270931899,0.903922703876316,137.064248603285
