"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1,1,1,0.930579831822665,0.370407298737004,0.344693561764452
"Spawners",2,1,1,2.04092849118397,0.317205475160168,0.647393691814029
"Spawners",3,1,1,4.51307890150767,0.295661411494925,1.33434327820748
"Spawners",4,1,1,3.57016529872231,0.310812178646173,1.10965085462274
"Spawners",5,1,1,7.70616765849429,0.317693443324426,2.44819893826269
"Spawners",6,1,1,11.5038323861053,0.267301761449074,3.07499466022235
"Spawners",7,1,1,6.71901630108002,0.268593375838812,1.80468327062329
"Spawners",8,1,1,10.03019443852,0.437200776567742,4.38520879764788
"Spawners",9,1,1,4.80220416763918,0.254799506271036,1.22359925092628
"Spawners",10,1,1,3.12639473917081,0.284998368911592,0.891017401237923
"Spawners",11,1,1,9.909542448168,0.281909399025387,2.79359315617954
"Spawners",12,1,1,19.1970114520618,0.235130022620617,4.51379373696986
"Spawners",13,1,1,7.45897876701644,0.234116574818549,1.74627056057724
"Spawners",14,1,1,26.2913898209788,0.243487051944034,6.40161299902191
"Spawners",15,1,1,4.52976821086315,0.239275316744535,1.08386172343387
"Spawners",16,1,1,5.35153965137662,0.227714356686283,1.2186224089955
"Spawners",17,1,1,24.3696289668407,0.26436150956742,6.44239190127052
"Spawners",18,1,1,2.91831133240795,0.280447750399724,0.818433848139856
"Spawners",19,1,1,5.8482827591725,0.271098935555333,1.5854632308385
"Spawners",20,1,1,6.47333256292012,0.235473055972179,1.52429540091521
"Spawners",21,1,1,5.98776773165922,0.884309639725071,5.29504072554131
"Juveniles",1,1,1,35.1789733700717,0.66218923946175,23.2951376209757
"Juveniles",2,1,1,13.7767122463789,0.677306332327429,9.33105444308962
"Juveniles",3,1,1,12.7679479885629,0.786239621964412,10.0386665997972
"Juveniles",4,1,1,113.75666275159,0.84849687793676,96.5221731895221
"Juveniles",5,1,1,56.6499158688373,0.622718117991708,35.2769289940006
"Juveniles",6,1,1,54.1982035468699,0.700015946838793,37.9396067729727
"Juveniles",7,1,1,93.9252601434403,0.724330858498958,68.0329643142942
"Juveniles",8,1,1,121.433109241688,0.574793225945173,69.7989285972001
"Juveniles",9,1,1,33.9179794841996,0.529488935972571,17.9591948670473
"Juveniles",10,1,1,137.059444204406,0.589290854289894,80.7678769640147
"Juveniles",11,1,1,92.1460213116267,0.575946974985247,53.0712222309248
"Juveniles",12,1,1,78.7536843660767,0.82558029508926,65.0174899780782
"Juveniles",13,1,1,138.79856115575,0.766936634792143,106.449701405901
"Juveniles",14,1,1,96.938609986242,0.739271461073999,71.6639478386865
"Juveniles",15,1,1,65.7481669372208,0.970038365459966,63.7782443876846
"Juveniles",16,1,1,64.5974782435976,0.729402517267336,47.1175632400011
"Juveniles",17,1,1,130.096123889111,0.814017042341131,105.900461989715
"Juveniles",18,1,1,56.4026667081825,0.803251449945796,45.3055238140183
"Juveniles",19,1,1,77.3884172278992,0.703949326522268,54.4775241881758
"Juveniles",20,1,1,47.1552871151242,0.853536061462613,40.2487380414472
"Juveniles",21,1,1,101.064186429578,0.877284575715172,88.662051911852
