"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1,1,1,0.989010675695793,0.365019073665816,0.36100776068798
"Spawners",2,1,1,3.08452461023545,0.34250049560159,1.05645120770003
"Spawners",3,1,1,4.95444223304411,0.304181828368932,1.50705129699514
"Spawners",4,1,1,5.11196829485824,0.333235018847038,1.70348685108229
"Spawners",5,1,1,13.885876451965,0.344428758667163,4.78269518935605
"Spawners",6,1,1,18.5876738620679,0.295515672072902,5.49294893362711
"Spawners",7,1,1,10.8316654973068,0.281629585784191,3.05051746736001
"Spawners",8,1,1,10.7179200329509,0.435289134445751,4.66539413420263
"Spawners",9,1,1,6.11350526517564,0.264655856493114,1.61797497213133
"Spawners",10,1,1,3.53443438128663,0.283709136127826,1.00275132501484
"Spawners",11,1,1,14.1417734547927,0.305205586735835,4.3161482647553
"Spawners",12,1,1,32.1970990597914,0.246763654689328,7.94507383439374
"Spawners",13,1,1,12.0249174516051,0.249378929720463,2.99876104405755
"Spawners",14,1,1,35.6909959215173,0.256281865417254,9.14695501336451
"Spawners",15,1,1,7.58351285364752,0.258215932238419,1.95818384114752
"Spawners",16,1,1,8.47737754937742,0.244318876331001,2.07118335709297
"Spawners",17,1,1,40.958391907759,0.293213648736381,12.0095595376493
"Spawners",18,1,1,3.70746333399112,0.29145975253146,1.08057634584543
"Spawners",19,1,1,8.23973299184375,0.286396074505275,2.35982718383675
"Spawners",20,1,1,9.57571806092027,0.247278512495898,2.36786931818387
"Spawners",21,1,1,8.39583127690737,0.98943960460179,8.30716797892446
"Juveniles",1,1,1,12032092.2188625,0.691241746712685,8317084.44198347
"Juveniles",2,1,1,12002108.9132395,0.690612098058374,8288801.6175428
"Juveniles",3,1,1,11960518.3123669,0.691327732212276,8268638.00101121
"Juveniles",4,1,1,11988476.6341756,0.690756939682874,8281123.43124844
"Juveniles",5,1,1,11956435.3822591,0.691469200542663,8267506.81516114
"Juveniles",6,1,1,11979461.5330392,0.690877655260146,8276342.29524206
"Juveniles",7,1,1,11973650.6766335,0.691078021526311,8274726.81999461
"Juveniles",8,1,1,11955400.0275807,0.691169773538344,8263211.12962626
"Juveniles",9,1,1,11971218.8689788,0.69064440065375,8267855.28090916
"Juveniles",10,1,1,11972237.6344467,0.690897503733704,8271589.09578497
"Juveniles",11,1,1,11959404.9352894,0.691046773980651,8264508.19926145
"Juveniles",12,1,1,11919688.4361638,0.693544097452843,8266829.55837784
"Juveniles",13,1,1,12008737.7618052,0.691023088212582,8298315.05377904
"Juveniles",14,1,1,11957902.4432477,0.691265456323543,8266084.88904399
"Juveniles",15,1,1,12016838.331595,0.690981079082824,8303407.91756261
"Juveniles",16,1,1,11934543.4087419,0.692293047177481,8262201.42314747
"Juveniles",17,1,1,11970009.2958492,0.690998099835641,8271253.67845652
"Juveniles",18,1,1,12014035.5311688,0.690761739636215,8298836.08360122
"Juveniles",19,1,1,11960959.4790765,0.691308592730604,8268714.06524048
"Juveniles",20,1,1,11935436.9802665,0.692505033243278,8265350.18289054
"Juveniles",21,1,1,11977377.4486023,0.690879530199296,8274924.90476958
