"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1,1,1,1.13879180525937,0.393036405459931,0.447586637706384
"Spawners",2,1,1,3.79033860029043,0.361202562158055,1.36908001387122
"Spawners",3,1,1,7.30037326302074,0.332821358844319,2.4297201494693
"Spawners",4,1,1,6.77229477793323,0.342855796089407,2.32192051744131
"Spawners",5,1,1,17.9501070386918,0.366793166014334,6.58397659101747
"Spawners",6,1,1,25.152573323638,0.322570344651984,8.11347424589321
"Spawners",7,1,1,15.5441742261061,0.333635148069159,5.1860828695404
"Spawners",8,1,1,14.3795198956998,0.430522185049319,6.19070232545646
"Spawners",9,1,1,9.03094177881249,0.328300088805594,2.96485898798168
"Spawners",10,1,1,4.90698120758477,0.316048628034709,1.55084467844986
"Spawners",11,1,1,19.9173126170323,0.331270166600618,6.59801146888232
"Spawners",12,1,1,41.7387990604217,0.288197971022033,12.0290372020999
"Spawners",13,1,1,17.1225706167346,0.301845845172022,5.16837679932932
"Spawners",14,1,1,52.618809604112,0.296609630047855,15.6072456502359
"Spawners",15,1,1,10.0974943389562,0.317074440553602,3.20165736851645
"Spawners",16,1,1,11.9916882030504,0.293371047369374,3.51801412785772
"Spawners",17,1,1,49.1642698719818,0.324767927133187,15.9669780153365
"Spawners",18,1,1,5.49976035664639,0.322717616644913,1.77486955441538
"Spawners",19,1,1,12.0092768010189,0.313055309730302,3.75956786857999
"Spawners",20,1,1,13.4079348688759,0.289693880165385,3.88419667717225
"Spawners",21,1,1,13.1594248882658,1.06479471064654,14.0120860161755
"Juveniles",1,1,1,27947040.3234054,0.796631054284062,22263480.1969625
"Juveniles",2,1,1,27853264.8400296,0.797570173275786,22214933.2647329
"Juveniles",3,1,1,27778068.0575245,0.799212573951369,22200581.2716183
"Juveniles",4,1,1,27830301.0710584,0.797564201471046,22196451.8504682
"Juveniles",5,1,1,27808137.1480962,0.797779417290244,22184759.4499233
"Juveniles",6,1,1,27805347.0946408,0.797932140512357,22186780.1249307
"Juveniles",7,1,1,27834100.8861965,0.797809814166233,22206318.8554953
"Juveniles",8,1,1,27828528.6813643,0.797307281899151,22187888.5621754
"Juveniles",9,1,1,27922169.4155681,0.796141064742264,22229985.6884167
"Juveniles",10,1,1,27830239.2817219,0.798428299057474,22220450.6120511
"Juveniles",11,1,1,27833863.460748,0.797487633358306,22197161.8985031
"Juveniles",12,1,1,27759185.8835571,0.799101438112594,22182405.3603898
"Juveniles",13,1,1,27924615.6063043,0.796625386512981,22245457.7005779
"Juveniles",14,1,1,27792274.8903418,0.797814929366807,22173091.8285699
"Juveniles",15,1,1,27961360.418489,0.796393921279245,22268257.4680346
"Juveniles",16,1,1,27880200.168434,0.796574664219206,22208661.0875471
"Juveniles",17,1,1,27773458.904962,0.798763453683854,22184423.95572
"Juveniles",18,1,1,27932331.9733245,0.797471211533335,22275230.6196896
"Juveniles",19,1,1,27794390.0016104,0.798127895749345,22183478.0056296
"Juveniles",20,1,1,27738919.8317744,0.799633640613549,22180973.4517636
"Juveniles",21,1,1,27839410.7295373,0.797583219529374,22204246.8394688
